player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,mean_rushing_yards,mean_rushing_tds,mean_fumbles,median_receiving_yards,median_receiving_tds,median_receptions,median_rushing_yards,median_rushing_tds,median_fumbles,p10_receiving_yards,p10_receiving_tds,p10_receptions,p10_rushing_yards,p10_rushing_tds,p10_fumbles,p90_receiving_yards,p90_receiving_tds,p90_receptions,p90_rushing_yards,p90_rushing_tds,p90_fumbles
00-0036900,Ja'Marr Chase,1596.9,15.1,119.3,13.4,0.0,0.2,1344.2,13.3,106.7,7.7,0.0,0.0,593.7,6.2,55.7,1.1,0.0,0.0,3049.8,27.4,204.0,35.6,0.0,0.7
00-0036322,Justin Jefferson,1440.3,8.9,95.5,1.0,0.0,1.1,1214.9,7.8,85.2,0.1,0.0,1.0,537.0,3.4,44.4,0.0,0.0,0.2,2742.6,16.6,164.6,3.5,0.0,2.4
00-0039893,Brian Thomas Jr.,1194.8,8.8,81.2,20.5,0.0,0.2,1006.8,7.7,73.8,12.1,0.0,0.0,440.7,3.4,37.9,2.2,0.0,0.0,2278.9,16.4,137.5,52.4,0.0,0.7
00-0037238,Drake London,1185.3,8.0,92.7,0.0,0.0,0.2,1001.0,7.0,82.4,0.0,0.0,0.0,443.8,3.0,42.9,0.0,0.0,0.0,2225.4,14.9,160.8,0.0,0.0,0.7
00-0036963,Amon-Ra St. Brown,1181.8,10.5,107.2,2.2,0.0,1.1,986.6,9.2,96.1,0.8,0.0,1.0,440.7,4.1,49.7,0.0,0.0,0.2,2275.6,19.5,183.7,6.7,0.0,2.3
00-0036407,Jerry Jeudy,1139.2,3.5,84.0,0.1,0.0,0.2,954.7,3.0,74.9,0.0,0.0,0.0,424.5,1.0,39.4,0.0,0.0,0.0,2164.2,6.8,145.1,0.1,0.0,0.7
00-0036358,CeeDee Lamb,1121.6,5.2,93.3,30.3,0.0,1.1,943.7,4.5,83.0,18.3,0.0,1.0,424.1,1.8,43.6,3.6,0.0,0.2,2127.1,9.9,160.7,76.9,0.0,2.4
00-0039337,Malik Nabers,1119.5,6.1,102.0,0.6,0.0,1.1,941.8,5.3,91.4,0.0,0.0,0.9,418.4,2.2,47.5,0.0,0.0,0.2,2121.4,11.6,174.7,2.3,0.0,2.4
00-0039915,Ladd McConkey,1077.0,6.2,76.8,0.1,0.0,2.2,902.0,5.3,69.2,0.0,0.0,1.9,402.7,2.2,35.8,0.0,0.0,0.7,2073.3,11.7,131.2,0.1,0.0,4.1
00-0038543,Jaxon Smith-Njigba,1066.1,5.3,93.4,11.0,0.0,1.1,899.0,4.6,83.7,6.3,0.0,1.0,397.3,1.8,43.4,0.7,0.0,0.2,2024.1,10.1,159.9,28.8,0.0,2.4
00-0035659,Terry McLaurin,1040.5,11.5,77.1,0.6,0.0,1.1,879.2,10.0,69.4,0.0,0.0,1.0,383.1,4.6,35.9,0.0,0.0,0.2,1987.3,21.3,133.0,2.4,0.0,2.4
00-0037740,Garrett Wilson,1028.2,6.2,94.2,1.8,0.0,2.2,859.4,5.4,83.9,0.6,0.0,2.0,377.7,2.1,43.5,0.0,0.0,0.7,1980.7,11.7,163.6,5.6,0.0,4.1
00-0034348,Courtland Sutton,1008.9,7.1,75.6,0.1,0.0,1.1,852.8,6.1,67.9,0.0,0.0,1.0,374.7,2.5,35.2,0.0,0.0,0.1,1904.2,13.3,129.7,0.1,0.0,2.4
00-0035676,A.J. Brown,993.4,6.2,62.7,0.1,0.0,0.2,838.8,5.3,55.7,0.0,0.0,0.0,369.0,2.2,28.9,0.0,0.0,0.0,1869.5,11.8,108.4,0.1,0.0,0.7
00-0031381,Davante Adams,989.3,7.1,79.6,0.1,0.0,0.2,835.7,6.2,71.3,0.0,0.0,0.0,372.1,2.6,37.0,0.0,0.0,0.0,1880.7,13.2,135.4,0.1,0.0,0.7
00-0039064,Zay Flowers,986.6,3.5,69.1,24.7,0.0,0.2,823.8,3.0,61.6,14.4,0.0,0.0,366.1,1.0,31.8,2.7,0.0,0.0,1882.0,6.9,119.7,64.4,0.0,0.7
00-0034837,Calvin Ridley,964.6,3.5,59.7,24.0,0.2,1.1,807.4,2.9,53.3,14.4,0.0,1.0,360.6,1.0,27.5,2.7,0.0,0.2,1844.9,6.9,102.6,62.4,0.5,2.3
00-0034960,Jakobi Meyers,955.7,3.5,80.8,9.6,0.0,0.2,810.9,2.9,72.7,5.5,0.0,0.0,351.7,1.0,37.6,0.6,0.0,0.0,1807.3,6.9,138.7,25.2,0.0,0.7
00-0036554,Nico Collins,949.3,6.2,63.6,0.1,0.0,0.2,797.6,5.3,57.0,0.0,0.0,0.0,347.6,2.2,29.1,0.0,0.0,0.0,1808.2,11.6,109.7,0.1,0.0,0.7
00-0037240,Jameson Williams,940.5,6.2,54.2,26.8,0.2,0.2,798.2,5.4,48.7,15.9,0.0,0.0,349.5,2.2,25.4,2.9,0.0,0.0,1792.9,11.7,92.9,68.5,0.5,0.7
00-0036309,Darnell Mooney,931.8,4.3,59.5,0.1,0.0,0.2,783.9,3.7,53.4,0.0,0.0,0.0,348.7,1.4,27.5,0.0,0.0,0.0,1772.6,8.5,102.7,0.1,0.0,0.7
00-0039075,Puka Nacua,931.7,2.6,73.4,20.1,0.2,0.2,792.2,2.1,65.8,11.6,0.0,0.0,346.2,0.6,34.0,2.0,0.0,0.0,1766.2,5.3,125.5,52.4,0.5,0.7
00-0031408,Mike Evans,931.6,9.7,69.1,0.1,0.0,0.2,787.2,8.5,62.1,0.0,0.0,0.0,349.1,3.7,31.9,0.0,0.0,0.0,1773.1,18.0,119.6,0.1,0.0,0.7
00-0035640,DK Metcalf,921.0,4.4,61.6,0.1,0.0,2.2,777.4,3.7,55.1,0.0,0.0,1.9,347.9,1.4,28.2,0.0,0.0,0.7,1748.2,8.5,106.8,0.1,0.0,4.0
00-0036259,Jauan Jennings,908.3,5.2,71.8,0.1,0.0,1.1,762.2,4.5,64.2,0.0,0.0,1.0,339.0,1.7,33.0,0.0,0.0,0.1,1723.2,10.0,123.8,0.1,0.0,2.4
00-0034827,DJ Moore,901.5,5.2,90.7,32.4,0.0,1.1,758.2,4.5,80.9,19.0,0.0,1.0,336.8,1.7,42.2,3.9,0.0,0.2,1713.6,9.8,155.8,82.8,0.0,2.4
00-0033040,Tyreek Hill,898.6,5.3,75.6,23.3,0.0,0.2,760.3,4.6,67.5,13.8,0.0,0.0,332.4,1.8,35.0,2.5,0.0,0.0,1713.7,10.2,129.9,60.2,0.0,0.7
