player_id,display_name,mean_receiving_yards,mean_receiving_tds,mean_receptions,median_receiving_yards,median_receiving_tds,median_receptions,p10_receiving_yards,p10_receiving_tds,p10_receptions,p90_receiving_yards,p90_receiving_tds,p90_receptions
00-0036900,Ja'Marr Chase,1368.0,9.8,74.3,721.6,6.9,59.6,70.6,0.6,5.8,3065.3,22.7,159.8
00-0039067,Rashee Rice,1328.2,7.3,78.9,689.0,4.8,61.9,61.1,0.3,5.7,3065.1,17.6,171.0
00-0036322,Justin Jefferson,1199.8,6.4,59.5,624.3,4.1,45.5,56.4,0.3,4.5,2731.4,15.7,130.2
00-0039075,Puka Nacua,1194.5,4.5,68.2,625.9,2.6,52.8,53.2,0.1,4.9,2636.2,11.5,150.0
00-0036554,Nico Collins,1189.5,6.6,58.5,625.8,4.1,45.6,63.6,0.3,4.6,2682.7,16.3,126.5
00-0039337,Malik Nabers,1152.3,6.0,73.7,609.1,3.7,58.2,61.4,0.2,6.0,2682.9,14.8,157.8
00-0033921,Chris Godwin,1145.5,7.7,71.8,611.3,5.0,55.9,59.2,0.4,5.7,2626.8,18.8,157.3
00-0036358,CeeDee Lamb,1117.6,5.5,68.0,575.6,3.3,52.3,54.1,0.2,4.8,2533.6,13.6,149.4
00-0039915,Ladd McConkey,1093.4,6.1,56.0,577.4,3.8,43.4,50.7,0.2,4.0,2533.2,15.1,122.3
00-0031381,Davante Adams,1080.7,6.7,60.7,554.2,4.3,47.2,46.9,0.3,4.4,2436.1,16.4,131.4
00-0036963,Amon-Ra St. Brown,1071.7,7.1,67.4,573.9,4.6,52.5,50.4,0.4,5.1,2453.5,17.3,145.7
00-0039893,Brian Thomas Jr.,1049.6,6.9,52.7,553.4,4.4,40.7,53.3,0.3,4.0,2341.9,16.8,115.2
00-0036410,Tee Higgins,1044.7,8.5,61.4,562.2,5.6,47.9,49.0,0.5,4.7,2400.2,20.3,131.2
00-0037238,Drake London,1041.0,6.4,60.3,555.6,4.0,46.5,53.9,0.3,4.6,2419.2,15.8,131.3
